# schema=engine-default-glyph-frequency-corpus.v1
# source=messense/jieba-rs@c62e0df1f9dcc2cc1e014711c5aa4561ae260538
# sourcePath=jieba/src/data/dict.txt
# sourceBlobSha=8a9837551ef4f0833835565b5ca654bd6d786a42
# sourceSha256=139519822fe8ab9e10d9d07e68ea0451045380aedaf54ecc51e2a28c6b42a13f
# algorithm=sum word frequency for each Han scalar occurrence; sort score desc then codepoint asc; take 1200
U+4E00	1250246
U+662F	1040202
U+4EBA	1021825
U+4E86	942730
U+4E0D	939279
U+5728	847683
U+6709	804801
U+5927	770162
U+4E2D	758988
U+56FD	727706
U+548C	618381
U+4E3A	581875
U+8FD9	575506
U+4E0A	539580
U+4ED6	527836
U+4E2A	498709
U+5730	498028
U+5E74	494021
U+6765	479810
U+6211	462436
U+4F1A	461233
U+4EE5	408391
U+5230	394601
U+65F6	374868
U+8981	373751
U+51FA	370446
U+7684	370190
U+751F	368926
U+5B66	346916
U+8BF4	343594
U+9053	340372
U+6C11	337274
U+5BB6	329871
U+5B50	327564
U+4E5F	324354
U+6210	319113
U+884C	318352
U+4E0B	316776
U+4EEC	314727
U+4E8E	314602
U+540E	311929
U+5C31	311366
U+53D1	307455
U+81EA	297826
U+4E4B	295006
U+5BF9	293449
U+5F97	285486
U+4E3B	284305
U+957F	282478
U+53EF	281462
U+8FC7	278199
U+5929	274206
U+4F5C	270985
U+5206	269687
U+65B9	268200
U+7528	261251
U+591A	260456
U+4F60	258688
U+7740	257736
U+90E8	253212
U+80FD	250577
U+5E02	248098
U+7B49	244620
U+4E1A	244234
U+5168	241628
U+91CC	237663
U+5DE5	237018
U+516C	235872
U+7ECF	235513
U+672C	231189
U+90FD	230154
U+800C	229835
U+9AD8	227556
U+653F	227495
U+6CD5	226393
U+9762	222879
U+95E8	222118
U+52A8	219815
U+65E5	218741
U+8FDB	216148
U+533A	214173
U+4E8B	214114
U+4EE3	213874
U+90A3	213479
U+53BB	209890
U+5FC3	209289
U+5C0F	207682
U+540C	207176
U+5317	206814
U+5B9A	206634
U+5F00	203456
U+4EA7	202355
U+524D	201792
U+5176	200407
U+519B	199651
U+8FD8	198414
U+7136	198221
U+8D77	194210
U+79CD	192407
U+6240	190553
U+5982	190040
U+73B0	188282
U+7406	186922
U+673A	185910
U+4F53	185060
U+8868	184523
U+529B	182864
U+597D	181922
U+5916	181857
U+4E0E	178348
U+6587	175101
U+5F53	175080
U+4E24	175035
U+5B9E	174060
U+91CD	174007
U+65B0	172835
U+4E09	171005
U+4E48	169591
U+53EA	168445
U+5C71	166351
U+6C34	164961
U+5173	164250
U+660E	163659
U+4ECE	163484
U+5316	162308
U+5E73	162115
U+5EFA	161590
U+53C8	161247
U+5236	161116
U+5357	159830
U+5185	158227
U+897F	158108
U+6CA1	158070
U+6B64	156668
U+5C06	156331
U+5458	155558
U+540D	155482
U+624B	155235
U+6700	153408
U+4E1C	153243
U+5934	153181
U+8005	152861
U+6708	152058
U+95F4	151605
U+65E0	151467
U+5B89	151387
U+770B	150807
U+89C1	148405
U+5404	148352
U+57CE	147001
U+5341	146170
U+76F8	145092
U+4F46	144961
U+5DF2	144932
U+4E9B	144187
U+6B63	144084
U+53E3	143961
U+901A	142871
U+60F3	141767
U+5EA6	141388
U+52A0	140876
U+7B2C	140380
U+5979	140345
U+5408	140164
U+9662	138869
U+7269	138859
U+6027	138611
U+6218	138406
U+7531	137708
U+4F4D	137205
U+5E38	136001
U+70B9	134433
U+6D77	133948
U+610F	131477
U+573A	129885
U+6B66	128490
U+4F7F	128192
U+6B21	127652
U+4E8C	126779
U+5411	126693
U+6CBB	124726
U+56E0	124700
U+7ACB	124434
U+6570	124265
U+6837	124215
U+8EAB	123503
U+60C5	122819
U+5165	122786
U+539F	121878
U+95EE	121272
U+628A	121147
U+8DEF	121046
U+88AB	120778
U+5E76	120222
U+5229	119979
U+77F3	118883
U+8001	118816
U+6559	118709
U+4E07	118159
U+77E5	117977
U+7EA7	117878
U+91CF	117871
U+4EFB	117559
U+6C5F	117482
U+53CA	117435
U+5E94	117173
U+7701	116929
U+8D44	116853
U+59D4	116591
U+52A1	116444
U+5143	115872
U+7F8E	113475
U+7279	113374
U+671F	113237
U+4E16	112993
U+6E56	112009
U+56DE	111205
U+7CFB	110839
U+6BD4	110522
U+6C14	108876
U+6C49	108605
U+603B	108249
U+5C55	107259
U+7535	106795
U+79D1	105668
U+91D1	104381
U+5148	103886
U+58F0	103880
U+63D0	103627
U+54C1	103610
U+8BBE	103061
U+6216	102994
U+4E49	102802
U+738B	102399
U+793E	100782
U+5F88	100554
U+7EDF	97624
U+5904	96972
U+56DB	96421
U+9996	95887
U+5171	95684
U+9A6C	95634
U+5F62	95582
U+5DF1	95519
U+513F	94365
U+53F8	93714
U+592A	93714
U+76EE	93645
U+57FA	93560
U+9886	93546
U+961F	93308
U+76F4	93265
U+8BA1	92838
U+522B	92679
U+5973	92662
U+6743	92104
U+8BDD	91781
U+5C11	91754
U+6D41	90839
U+547D	90811
U+81F3	90718
U+62A5	90420
U+7C73	90381
U+7ED9	90070
U+6253	89856
U+53D8	89729
U+679C	89723
U+4E66	89637
U+6E05	89598
U+6D3B	89473
U+51E0	89433
U+5DDE	89332
U+534E	89322
U+89E3	89255
U+8BAE	88841
U+66F4	88743
U+79F0	88588
U+7A0B	88426
U+4ECA	87735
U+51B3	87638
U+5F20	87277
U+5BFC	87250
U+672F	86760
U+5E9C	86685
U+624D	86612
U+4FDD	86418
U+4EA4	86010
U+653E	85836
U+7BA1	85783
U+7ED3	85191
U+5E08	84985
U+4FBF	84648
U+8D70	84552
U+8FBE	84417
U+65CF	84281
U+53CD	84073
U+518D	83953
U+9898	83669
U+8272	83589
U+4E94	83442
U+4EAC	82989
U+6CB3	82551
U+63A5	82253
U+6761	82229
U+89C4	82067
U+53BF	81542
U+5F0F	81542
U+767D	81524
U+5B83	80765
U+6539	80600
U+98CE	80287
U+5149	80274
U+8FD0	80033
U+4FE1	79852
U+53D7	79722
U+4EC0	79232
U+7EC4	79089
U+542C	78817
U+5E03	78361
U+767E	77486
U+6D4E	76836
U+515A	76408
U+6307	76334
U+8BBA	76330
U+5F3A	76153
U+505A	75737
U+53D6	75284
U+6280	75157
U+9EC4	74110
U+795E	73715
U+9009	73682
U+8BB0	73662
U+65AF	73580
U+771F	73577
U+5374	73217
U+804C	73112
U+53F7	72785
U+754C	72668
U+4EF6	72559
U+82B1	72446
U+7C7B	72325
U+4F55	71714
U+773C	71615
U+5175	71021
U+4F20	70784
